Name/Address,Latitude,Longitude
400 S @ 210 E,40.16100700,-111.60672100
State St @ 2390 S,40.20158300,-111.62163200
Main St @ 900 N,40.17875900,-111.61045100
400 N @ 221 E,40.17231200,-111.60658800
Main St @ 444 S,40.16063900,-111.61083600
400 N @ 110 E,40.17216400,-111.60836500
400 E @ 20 S,40.16621500,-111.60344600
400 E @ 390 S,40.16159600,-111.60349800
400 E @ 26 N,40.16703100,-111.60326800
800 E @ 558 N,40.11700100,-111.64050400
Main St @ 295 S,40.10614100,-111.65466300
Main St @ 87 S,40.10890200,-111.65461900
800 E / 700 N (SB),40.11897200,-111.64071800
800 E @ 455 N,40.11555100,-111.64074200
Main St @ 140 S,40.10793100,-111.65499100
Main St @ 210 S,40.10700300,-111.65500200
800 E @ 450 N,40.11558100,-111.64052800
100 N @ 30 W,40.23520300,-111.65920600
100 N @ 280 W,40.23521500,-111.66364600
100 N / 100 W (EB),40.23502200,-111.66019700
500 W @ 358 N,40.23826800,-111.66730400
Expressway Ln @ 940 E,40.12153700,-111.63841400
Expressway Lane @ 945 E,40.12157200,-111.63875200
Center St @ 630 E,40.10963500,-111.64368600
800 E @ 30 N,40.11033700,-111.64063600
800 E @ 190 N,40.11224200,-111.64057400
State Hwy @ 1150 N,40.12424500,-111.62785500
800 S @ 947 W,40.03124900,-111.74899100
State Rd @ 763 S,40.03196000,-111.73517400
100 N @ 444 E,40.04443800,-111.72683600
100 N @ 520 E,40.04442700,-111.72509900
100 N @ 640 E,40.04442200,-111.72288200
100 N @ 1020 E,40.04447200,-111.71563500
Highway 198 @ 499 W,40.05124800,-111.68290600
400 N @ 351 E,40.17229700,-111.60431800
Main St @ 195 S,40.10737700,-111.65465300
Geneva Rd @ 1161 S,40.27585200,-111.72778900
1200 W @ 1209 N,40.31925500,-111.72481700
1200 W @ 1086 N,40.31705800,-111.72451700
800 E @ 579 N,40.30782100,-111.67671300
800 E @ 574 N,40.30777900,-111.67652200
University Ave / 900 S (SB),40.22233900,-111.65898300
Freedom Blvd / 300 N (NB),40.23799700,-111.66211900
State St / 900 W (WB),40.38725200,-111.82250600
University Ave / Paul Ream Ave (SB),40.25312800,-111.65875800
University Pkwy/University Ave (WB),40.25609400,-111.65939000
Freedom Blvd / 350 S (SB),40.22876900,-111.66235300
1860 S @ 502 E,40.20864700,-111.65168700
University Ave / Paul Ream Ave (NB),40.25372000,-111.65846500
University Ave / 4800 N (SB),40.29719700,-111.65729600
State St @ 200 N (NB),40.30119700,-111.69656800
University Ave / 4800 N (NB),40.29812700,-111.65665800
East Bay Blvd @ 139 E,40.21476200,-111.65632800
Freedom Blvd / 350 S (NB),40.22897600,-111.66216600
Main St @ 1056 S,40.09759300,-111.65556600
Main St @ 931 S,40.09847800,-111.65523300
Main St / 500 W (LDS Church P+R),39.97639000,-111.79585200
400 S / 1350 W (WB),40.28995400,-111.72835500
400 S / 1350 W (EB),40.28981000,-111.72814000
State Rd @ 1065 N,40.07088800,-111.66330700
800 E @ 984 N,40.31530800,-111.67663500
100 W @ 420 S,40.03795100,-111.73395400
Highway 198 @ 380 N,40.05987900,-111.66888200
Freedom Blvd / 300 N (SB),40.23806400,-111.66233000
Redwood Rd @ 1461 N,40.38929100,-111.91660700
Center St @ 875 W,40.23368200,-111.67405800
500 W @ 344 S,40.22914400,-111.66764800
920 S @ 471 W,40.22168000,-111.66686900
500 W @ 897 S,40.22195800,-111.66735500
500 W @ 281 S,40.23017900,-111.66740300
Center St @ 548 W,40.23391800,-111.66832200
Center St @ 970 W,40.23391600,-111.67523000
Lakeview Pkwy / Mike Jense Pkwy,40.22073200,-111.71256700
UVU Testing Services (EB),40.28247500,-111.72217400
UVU McKay Education Building (EB),40.28259800,-111.71800400
Center St @ 2906 W,40.23386600,-111.70934600
700 N / 600 E (WB),40.24309000,-111.64857000
700 N / 200 E (WB),40.24310700,-111.65543700
University Ave / Cougar Blvd (NB),40.25127400,-111.65855200
100 E @ 1446 N,40.37957600,-111.73972300
100 E @ 1453 N,40.37965800,-111.73991300
Main St / Center St (EB),39.97551900,-111.78484700
980 W @ 919 N,40.31388200,-111.71969100
1200 W @ 1448 N,40.32329900,-111.72474200
400 E @ 210 N,40.16969400,-111.60322900
State St / Lindon Center St (SB),40.33716700,-111.71652700
300 S / 200 E (EB),40.22960000,-111.65467700
UVU Station,40.27588000,-111.71243700
UVU Station,40.27548400,-111.71182000
Ashton Blvd / 1800 W (WB),40.41874800,-111.88077400
Center Street Station,40.23334500,-111.65869400
Center St / 400 E (WB),40.29717700,-111.68665400
Center St / 400 E (EB),40.29694500,-111.68512900
Triumph Blvd / 3400 N (NB),40.42987700,-111.88030500
Provo Central Station (Bay J),40.22503200,-111.66081600
Triumph Blvd / Ridge Dr (SB),40.42546500,-111.88087000
Triumph Blvd / Ridge Dr (NB),40.42584000,-111.88018600
Mill Rd @ 267 N,40.30198400,-111.73750600
Mill Rd @ 238 N,40.30142100,-111.73750900
State St @ Lindon Center St. (NB),40.33885300,-111.71748800
State  St @ 198 N,40.34176100,-111.71987700
1600 N @ 278 W,40.32664800,-111.70329100
1600 N @ 460 W,40.32664200,-111.70676100
1600 N @ 1035 W,40.32631900,-111.72057100
Main St / 1820 S (SB),40.26356600,-111.69505700
Main St / 2000 S (SB),40.26049800,-111.69491500
1460 N / 1900 W (WB),40.25352400,-111.69069200
University Ave / 960 N (SB),40.24696300,-111.65877800
East Bay North Station,40.21450900,-111.65633100
East Bay South Station,40.20894300,-111.65521400
University Pkwy / 400 W (EB),40.27339500,-111.70408500
University Place Station,40.27328800,-111.67955500
