X,Y,fid_,stopabbr,stopname,city,county,stopabbr_j,uta_stopid,latitude,longitude,avgboard,avgalight,route,mode,zipcode,avgboard2,avgalight2
-111.847089,40.749602,"1283","126422",1525 E @ 901 S,Salt Lake City,Salt Lake,"126422","126422",40.74960200,-111.84708900,"1","0","17",Bus,"84105",0.57000000,0.21000000
-111.864907,40.7254980000001,"1291","126444",2100 S / 900 E (WB),Salt Lake City,Salt Lake,"126444","126444",40.72549800,-111.86490700,"8","15","21",Bus,"84106",7.53000000,15.27000000
-111.882265,40.7255280000001,"1295","126450",2100 S / 300 E (WB),Salt Lake City,Salt Lake,"126450","126450",40.72552800,-111.88226500,"7","6","21",Bus,"84115",6.76000000,5.79000000
-111.888462,40.716036,"1309","126474",State St @ 2510 S,South Salt Lake,Salt Lake,"126474","126474",40.71603600,-111.88846200,"2","4","200",Bus,"84115",2.08000000,3.69000000
-111.877558,40.7255450000001,"1294","126448",2100 S / 500 E (WB),Salt Lake City,Salt Lake,"126448","126448",40.72554500,-111.87755800,"43","19","21",Bus,"84115",42.61000000,19.23000000
-111.888416,40.7537300000001,"1300","126460",State St @ 720 S,Salt Lake City,Salt Lake,"126460","126460",40.75373000,-111.88841600,"42","16","200",Bus,"84111",41.83000000,15.54000000
-111.888072,40.719297,"1311","126476",State St @ 2363 S,South Salt Lake,Salt Lake,"126476","126476",40.71929700,-111.88807200,"0","3","200",Bus,"84115",0.26000000,3.16000000
-111.888029,40.7353610000001,"1314","126481",State St @ 1601 S,Salt Lake City,Salt Lake,"126481","126481",40.73536100,-111.88802900,"14","12","200",Bus,"84115",13.51000000,11.85000000
-111.888444,40.7620430000001,"1332","126509",State St / 300 S (SB),Salt Lake City,Salt Lake,"126509","126509",40.76204300,-111.88844400,"11","10","200, 451, 470, 472",Bus,"84111",11.17000000,10.01000000
-111.888086,40.7678030000001,"1336","126514",State St / 50 S (NB),Salt Lake City,Salt Lake,"126514","126514",40.76780300,-111.88808600,"97","66","200, 209, 451, 455, 470, 472, 473",Bus,"84111",97.17000000,65.58000000
-111.852412,40.764553,"1343","126556",U Presidents' Circle (SB Stop C),Salt Lake City,Salt Lake,"126556","126556",40.76455300,-111.85241200,"10","6","220",Bus,"84102",9.61000000,5.79000000
-111.888062,40.7658700000001,"1335","126513",State St / 150 S (NB),Salt Lake City,Salt Lake,"126513","126513",40.76587000,-111.88806200,"75","63","200, 209, 451, 455, 470, 472, 473",Bus,"84111",75.09000000,62.68000000
-111.888072,40.7635560000001,"1334","126512",State St / 300 S (NB),Salt Lake City,Salt Lake,"126512","126512",40.76355600,-111.88807200,"37","22","200, 451, 455, 470, 472, 473",Bus,"84111",37.41000000,22.39000000
-111.854,40.7500400000001,"1347","126563",1300 E @ 896 S,Salt Lake City,Salt Lake,"126563","126563",40.75004000,-111.85400000,"8","5","213, 220",Bus,"84102",8.31000000,5.27000000
-111.853964,40.740481,"1349","126568",1300 E @ 1356 S,Salt Lake City,Salt Lake,"126568","126568",40.74048100,-111.85396400,"3","5","213",Bus,"84105",3.38000000,5.27000000
